stock_code,data_type,rows,first_date,last_date,actual_periods,expected_periods,note
00371,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00371,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00371,weekly_kline,867,2010-01-08,2026-08-14,867.0,867.0,周期完整度 867/867
00371,weekly_moneyflow,289,2021-02-05,2026-08-14,289.0,,
00579,daily_kline,0,,,0.0,0.0,无数据
00579,daily_moneyflow,0,,,0.0,0.0,无数据
00579,institutional_holdings,0,,,0.0,0.0,无数据
00579,monthly_kline,0,,,0.0,0.0,无数据
00579,monthly_moneyflow,0,,,0.0,0.0,无数据
00579,quarterly_kline,0,,,0.0,0.0,无数据
00579,quarterly_moneyflow,0,,,0.0,0.0,无数据
00579,weekly_kline,0,,,0.0,0.0,无数据
00579,weekly_moneyflow,0,,,0.0,0.0,无数据
00700,daily_kline,4092,2010-01-04,2026-08-20,4092.0,4092.0,周期完整度 4092/4092
00700,daily_moneyflow,1361,2021-02-03,2026-08-20,1361.0,,
00700,institutional_holdings,89,,,,,
00700,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00700,monthly_moneyflow,67,2021-02-26,2026-07-31,67.0,,
00700,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00700,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00700,weekly_kline,867,2010-01-08,2026-08-14,867.0,867.0,周期完整度 867/867
00700,weekly_moneyflow,289,2021-02-05,2026-08-14,289.0,,
00788,daily_kline,1976,2018-08-08,2026-08-20,1976.0,1976.0,周期完整度 1976/1976
00788,daily_moneyflow,1343,2021-02-03,2026-08-20,1343.0,,
00788,institutional_holdings,33,,,,,
00788,monthly_kline,96,2018-08-31,2026-07-31,96.0,96.0,周期完整度 96/96
00788,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
00788,quarterly_kline,32,2018-09-30,2026-06-30,32.0,32.0,周期完整度 32/32
00788,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00788,weekly_kline,419,2018-08-10,2026-08-14,419.0,419.0,周期完整度 419/419
00788,weekly_moneyflow,287,2021-02-05,2026-08-14,287.0,,
01093,daily_kline,4091,2010-01-04,2026-08-20,4091.0,4092.0,周期完整度 4091/4092
01093,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
01093,institutional_holdings,90,,,,,
01093,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
01093,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
01093,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
01093,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
01093,weekly_kline,867,2010-01-08,2026-08-14,867.0,867.0,周期完整度 867/867
01093,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
01177,daily_kline,4089,2010-01-04,2026-08-20,4089.0,4092.0,周期完整度 4089/4092
01177,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
01177,institutional_holdings,86,,,,,
