week_end,n_selected,portfolio_return,turnover,gross_turnover,equity
2022-09-30,5,-0.0698929,0.001378333333333333,0.3333333333333332,0.5428963054289931
2022-10-07,5,0.00043074,0.003537989341085271,0.8556201550387597,0.5431301525835937
2022-10-14,5,-0.01800299,0.0014686680761099367,0.35517970401691334,0.5333521858779328
2022-10-21,5,0.04216536,0.0,0.0,0.5558411728022628
2022-10-28,5,-0.06842727,0.0,0.0,0.5178064787938056
2022-11-04,5,0.12439532,0.0,0.0,0.5822191814214343
2022-11-11,5,0.09290658,0.0,0.0,0.6363111743776992
2022-11-18,5,0.07637925,0.0,0.0,0.6849121446432871
2022-11-25,5,-0.0625042,0.0005638636363636365,0.13636363636363638,0.6421022589720742
2022-12-02,5,0.09770925,0.0,0.0,0.7048415891195414
2022-12-09,5,0.1036736,0.0006891666666666668,0.16666666666666669,0.7779150540932851
2022-12-16,5,-0.00603322,0.0,0.0,0.7732217214306284
2022-12-23,5,-0.01136472,0.0,0.0,0.7644342730686513
2022-12-30,5,0.02375002,0.0,0.0,0.7825896023427172
2023-01-06,5,0.03785482,0.0,0.0,0.8122143908732723
2023-01-13,5,0.03248057,0.0,0.0,0.838595577251039
2023-01-20,5,0.01816547,0.0008270000000000003,0.20000000000000004,0.8538290600517254
2023-01-27,5,0.04201047,0.0,0.0,0.8896988201641566
2023-02-03,5,-0.03791841,0.0,0.0,0.8559628555246559
2023-02-10,5,-0.06613699,0.0,0.0,0.7993520487084503
2023-02-17,5,-0.04003055,0.0,0.0,0.7673535465550243
2023-02-24,5,-0.01393147,0.0016540000000000003,0.4,0.7566631836417994
2023-03-03,5,0.02794728,0.0008270000000000003,0.20000000000000004,0.7778098615007282
2023-03-10,5,-0.08359745,0.0,0.0,0.7127869404944142
2023-03-17,5,0.05059585,0.0,0.0,0.7488510016176285
2023-03-24,5,0.02726688,0.0,0.0,0.7692698320166163
2023-03-31,5,-0.04350275,0.0,0.0,0.7358044788318554
2023-04-07,5,0.05876233,0.0021659523809523813,0.5238095238095238,0.7790420644324508
2023-04-14,5,-0.02938401,0.0017721428571428578,0.42857142857142866,0.7561506846207471
2023-04-21,5,-0.08182248,0.0,0.0,0.6942805603513796
2023-04-28,5,0.02677783,0.0,0.0,0.7128718871687736
2023-05-05,5,0.01888303,0.0,0.0,0.7263330684003382
2023-05-12,5,-0.0463275,0.000530128205128205,0.12820512820512817,0.6926838731740216
2023-05-19,5,-0.01203332,0.0,0.0,0.6843485864692792
