问题: 对石药集团 (01093)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma      ind_5ma
2026-06-12  6.91  7.21 6.77  7.09           0.00%        0.942         4.15% 7.396 8.239  7.556  7.085        -0.5135        死叉延续 35.90       -109,230,000     359,020,000     283,672  -88,528,168
2026-06-19  7.18  7.42 6.60  6.74          -4.94%        0.609         2.24% 7.177 8.096  7.540  7.082        -0.5209        死叉延续 33.25         33,290,000    -112,130,000 133,303,480  141,314,000
2026-06-26  6.74  6.93 6.38  6.69          -0.74%        0.984         3.58% 7.015 7.962  7.523  7.078        -0.5013        死叉延续 32.87        229,120,000     185,541,160  28,142,000   40,494,232
2026-07-03  6.75  8.08 6.65  8.00          19.58%        1.297         5.54% 7.343 7.966  7.532  7.087        -0.2912        死叉延续 49.05        177,580,000     640,740,000  36,414,000  199,804,232
2026-07-10  8.01  8.58 7.64  8.11           1.37%        1.150         5.33% 7.599 7.980  7.544  7.097        -0.1250        死叉延续 50.14        193,490,000     280,230,000 104,850,000  270,680,232
2026-07-17  8.11  8.72 7.90  8.10          -0.12%        1.151         5.77% 7.766 7.991  7.555  7.107        -0.0103        死叉延续 50.03        184,338,320     858,065,680 163,563,664  370,489,368
2026-07-24  8.18  8.86 8.12  8.55           5.56%        0.734         3.25% 8.027 8.044  7.574  7.122         0.1250          金叉 54.62        123,049,840     416,746,640 181,515,632  476,264,696
2026-07-31  8.42  8.82 8.28  8.58           0.35%        0.811         3.27% 8.211 8.095  7.594  7.136         0.2122        金叉延续 54.91        108,581,680      93,361,020 157,407,968  457,828,668
2026-08-07  8.52  8.76 8.21  8.69           1.28%        0.755         2.72% 8.371 8.152  7.616  7.152         0.2744        金叉延续 56.05         86,164,800     137,170,670 139,124,928  357,114,802
2026-08-14  8.94  9.22 8.52  8.69           0.00%        0.899         3.08% 8.477 8.203  7.637  7.167         0.3030        金叉延续 56.05         61,056,140      78,060,410 112,638,156  316,680,884
2026-08-21  8.78 10.17 8.61  9.19           5.75%        1.474         6.62% 8.715 8.297  7.668  7.187         0.3722        金叉延续 61.20        499,181,710    -329,912,340 175,606,834   79,085,280
2026-08-28  9.50  9.98 9.16  9.53           3.70%        1.163         5.69% 8.987 8.415  7.705  7.211         0.4419        金叉延续 64.27        -95,211,370    -399,632,870  74,933,206   28,953,426

--------------------------------------------------------------------------------
生成时间: 2026-08-28 17:48:23
