date,close,volume,chg1d,ma5,ma20,chg5d,chg20d,dd_from_peak,w_signal,m_state,s_regime,f_state,daily_state,d_flow_z,mtf_regime,action_signal,risk_level,align_method,catalyst_score,target_now,position_eff
2026-06-03,2.54,24678197.0,-0.0078125,2.6,2.7315,-0.06617647058823539,-0.059259259259259345,-0.11188811188811187,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.554700654705438,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-04,2.5,24091626.0,-0.015748031496062964,2.568,2.7220000000000004,-0.06015037593984962,-0.07063197026022305,-0.12587412587412583,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.41083729752098935,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-05,2.52,85428043.0,0.008000000000000007,2.5460000000000003,2.713,-0.041825095057034134,-0.06666666666666676,-0.11888111888111885,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,1.75669431655038,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-08,2.49,34810676.0,-0.011904761904761862,2.5220000000000002,2.7005,-0.045977011494252706,-0.0912408759124087,-0.12937062937062926,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.2523368210280685,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-09,2.53,20380869.0,0.016064257028112205,2.516,2.6870000000000003,-0.011718750000000111,-0.09642857142857142,-0.11538461538461542,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.016116932717531753,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-10,2.52,16908780.0,-0.0039525691699603405,2.5119999999999996,2.6719999999999997,-0.007874015748031482,-0.10638297872340419,-0.11888111888111885,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.934886368381232,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-11,2.49,7867788.0,-0.011904761904761862,2.5100000000000002,2.6565000000000003,-0.0039999999999998925,-0.11071428571428554,-0.12937062937062926,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.13307409662935954,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-12,2.48,17762000.0,-0.004016064257028162,2.502,2.6375,-0.015873015873015928,-0.1328671328671328,-0.1328671328671328,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.2558195224849272,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-15,2.42,19940470.0,-0.024193548387096753,2.488,2.616,-0.028112449799196915,-0.15087719298245617,-0.15384615384615385,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.7309877616498257,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-16,2.41,19829313.0,-0.004132231404958553,2.464,2.5945,-0.04743083003952553,-0.15140845070422526,-0.1573426573426573,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.7831887578415593,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-17,2.39,10183000.0,-0.008298755186721962,2.438,2.573,-0.051587301587301515,-0.15248226950354604,-0.16433566433566427,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.027401260911717493,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-18,2.36,28063747.0,-0.012552301255230214,2.412,2.551,-0.052208835341365556,-0.15714285714285714,-0.1748251748251748,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.12814087729347204,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-22,2.34,8840171.0,-0.008474576271186418,2.384,2.5305,-0.05645161290322587,-0.14909090909090916,-0.18181818181818188,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.20280954700434378,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-06-23,2.33,6330255.0,-0.004273504273504147,2.366,2.5115000000000003,-0.037190082644628086,-0.14022140221402213,-0.1853146853146852,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.17123190729193916,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-06-24,2.32,10810000.0,-0.0042918454935623185,2.348,2.4909999999999997,-0.03734439834024905,-0.1501831501831502,-0.18881118881118886,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.4341382603060284,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-06-25,2.3,12239666.0,-0.008620689655172376,2.3299999999999996,2.4699999999999998,-0.03765690376569053,-0.15441176470588247,-0.19580419580419584,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.04312450015680299,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
